IoTCriticalObjects;IoTThreatID;Name;Description;Reference;ResilientSolutionIDs
TAG;PLTT11;Abuse of Tags;The size of RFID tag is small making it cost efficient. As RFID tag can be embedded into various functions, so the margin for establish security protection system is very little due to its small size. The RFID tags are prone to illegal use by unauthorized users. Moreover the communication between RFID tag and RFID reader is done through a unique Electronic Product Code (EPC), which may be sabotaged by the attacker if they collect the EPC. Another problem is detaching the tag. In this case the transponders, that identify the tagged items in the RFID system, may be associaDVCted to some other thing and may be detached from its tag.;P111;SPTK33 SPTK34 SPTK35 SPTK36 SPTK30 SPTK31 DTK4 DTK11 SPTK19
TAG;PLTT12;Tag Killing;The size of RFID tag is small making it cost efticient. As RFID tag can be embedded into various functions, so the margin for establish security protection system is very little due to its small size. The RFID tags are prone to illegal use by unauthorized users. Moreover the communication between RFID tag and RFID reader is done through a unique Electronic Product Code (EPC), which may be sabotaged by the attacker if they collect the EPC. Another problem is deta ching the tag. In this case the transponders, that identify the tagged items in the RFID system, may be associated to some other thing and may be detached from its tag;P111;SPTK33 SPTK34 SPTK35 SPTK36 SPTK30 SPTK31 DTK4 DTK11 SPTK19
DVC TAG SSR ATT;PLTT13;Sabotage of Readers;One of the big security issue for RFID is sabotage of the reader. If the attacker gets control of the RFID reader, it can be sabotaged thus emitting some electromagnetic waves to destroy the data in the RFID tag.;P111;SPTK33 SPTK34 SPTK35 SPTK36
DVC TAG SSR ATT;PLTT14;Attacks on Data Confidentiality;There are various crypt-analysis attacks that cause threats to data confidentiality on a WSN during information sending and receiving.;P111;SPTK30 SPTK31 DTK4 DTK11
DVC TAG SSR ATT;PLTT15;Attacks to Data Integrity;The data may be abused, changed and modified due to various attacks.;P111;SPTK30 SPTK31 DTK4 DTK11
RSC NRSC ODRSC;PLTT16;Unauthorized Access;An attacker can access to WSN resources to obtain the keys for malicious purposes.;P111;SPTK30 SPTK31 DTK4 DTK11 SPTK19
DVC TAG SSR ATT;PLTT17;Malicious Code Injection;The attacker compromises a node by physically injecting it with malicious code that would give him access to the IoT system, e.g. imagine an attacker inserting a USB stick with harmful software (i.e. virus) onto the node. This would mean that the attacker could gain full control of the node or even control of the whole system.;P60;SPTK30 SPTK31 DTK4 DTK11 (Others countermeasures: p60)
DVC TAG SSR ATT;NTT1;Earthquakes;Natural threat that could cause severe damage to IoT application. Few safeguards can be implemented against natural disasters, and nobody can prevent them from happening. Disaster recovery plans like backup and contingency plans are the best approaches to secure svstems against natural threats;P66;DRTK FRTK
DVC TAG SSR ATT;NTT2;Hurricanes;Natural threat that could cause severe damage to lol application. Few safeguards can be implemented against natural disasters, and nobody can prevent them from happening. Disaster recovery plans like backup and contingency plans are the best approaches to secure svstems against natural threats;P66;DRTK FRTK
DVC TAG SSR ATT;NTT3;Floods;Natural threat that could cause severe damage to lol application. Few safeguards can be implemented against natural disasters, and nobody can prevent them from happening. Disaster recovery plans like backup and contingency plans are the best approaches to secure sVstems against natural threats;P66;DRTK FRTK
DVC TAG SSR ATT;NTT4;Fire;Natural threat that could cause severe damage to lol application. Few safeguards can be implemented against natural disasters, and nobody can prevent them from happening. Disaster recovery plans like backup and contingency plans are the best approaches to secure systems against natural threats.;P66;DRTK FRTK
DVC TAG SSR ATT;NTT5;Power Outage;Power outage is a natural threat that could cause severe damage to IoT application. Some lol devices consume power directly from the power grid and a drop in power grid may affect them. Redundant Power, Disaster recovery plans like backup..contingency plans are the best approaches to secure IoT application.;P66;DRTK FRTK RTK7
DVC TAG SSR ATT;HTT1;Energy Limitations;A typical IoT healthcare network incudes small health devices of limited battery power (eg., body temperature and BP sensors). Such devices conserve energy by switching on the power-saving mode when no sensor reading needs to be reported. In addition, they operate at a low CPU speed if there is nothing important to be processed.;P66;SCTK SHTK3 SHTK5 DTK1
DVC TAG SSR ATT;HTT2;Memory Limitations;Most ol healthcare devices have low on-device memory. Such devices are activated using an embedded operating system (OS), system software, and an application binary. Therefore, their memory may not be sufficient to execute complicated security protocols.;P66;FRTK9
DVC TAG SSR ATT;HTT3;Natural Wear;A long pernod of use and exposure to hostile environments can cause hardware to wear out and lead to malfunction.;;FRTK
DVC TAG SSR ATT;HTT4;Malfunction/Faulty Hardware;A long period of use and exposure to hostile environments can cause hardware to wear out and lead to malfunction.;;FRTK DTK1 AAK
DVC TAG SSR ATT;HTT5;Computational Limitations;IoT health devices are embedded with low-speed processors. The central processing unit (CPU) m such devices is not very powerfül in tems of its speed. In addition, these devices are not designed to perfom computationally expensive operations. That is, they simply act as a sensor or actuator. Therefore, finding a security solution that minimizes resource consumption and thus maximizes security perfomance is a challenging task.;P66;AAK
DVC TAG SSR ATT;HTT6;Mobility;In general, healthcare devices are not static but mobile in nature. Such devices are connected to the Intemet through IoT service providers. For example, a wearable body temperature sensor or a heart monitor may be connected to the Intemet and notifies the concemed caregiver of the user's conditions. Such wearable are connected to the home network when the user is at home, whereas they are connected to the office network when he or she is at office. Different networks have different security configurations and settings. Therefore, developing a mobility-compliant security algorithm is a serious challenge.;P66;AAK
DVC TAG SSR ATT;HTT7;Scalability;The number of lol devices has increased gradually, and therefore more devices are getting connected to the global infomation network. Therefore, designing a highly scalable security scheme without compromising security requirements becomes a challenging task.;P66;AAK
DVC TAG SSR ATT;HTT8;Communications Media;In general, health devices are connected to both local and global networks through a wide range of wireless links such as ZigBee, Z-Wave, Bluetooth, Bluetooth Low Energy, Wi-Fi, GSM, WiMax, and 3G/4G. Wireless channel characteristics of these networks make traditional wired security schemes less appropriate. Therefore, it is difficult to find a comprehensive security protocol that can treat both wired and wireless channel characteristics equally.;P66;DTK2
DVC TAG SSR ATT;HTT9;Multiplicity of Devices;Health devices within an IoT health network are diverse, ranging from füll-edged PCs to low-end RFID tags. Such devices vary according to their capability in temms of their computation, power, memory, and embedded soft-ware. Therefore, the challenge lies in designing a security scheme that can accommodate even the simplest of devices.;P66;DTK1
DVC TAG SSR ATT;HTT10;Battery Low;device begins to fail in their functions because the battery is running low;P66;SCTK SHTK3 FRTK DTK1
RSC DVC TAG SSR ATT ODRSC;NLTT1;Hello Flood;Some routing protocols require nþdes to broadcast hello messages to announce themselves to their neighbors.. A node which receives such a message may assume that it is within a radio range of the sender and attempt to use the route as a communication path. However an attacker with large enough transmission power could convince every other node in the network that the attacker is its neighbor. This will lead to far away nodes sending the packets to the attacker which will be lost. The work by Singh [p31] presents some countemeasures. This is a fundamental issue when it comes to acknowledgment based systems. However, acknowledgments are usually in the dominion of a powerful host with sufficient energy resources. For routing mechanisms, unequal transmission radio of legitimate nodes may also result in a hello flood. This attack has been classified as a low impact attack on availability. Autonomic mitigation mechanism may include use of authentication, and puzzle schemes such as des cribed by [p32];P15;SPTK30 SPTK31 DTK4 DTK11 (Others counteme asures: P31, p32. pl5, p9)
RSC DVC TAG SSR ATT ODRSC;NLTT2;Sink Hole;An adversary attracts a central node and compromises it leading to loss in availability. This leads to message drops and even a DoS attack. An intrusion detection system (IDS) is described by [p33] particularly to detect the sinkhole attack for the Mint Route protocol. Furthemore, the IDs by [p34] is able to detect the sinkhole attack for network s using link quality indication (LQI) based routing protocol. An autonomic system, however, demands reactive measures to be taken once the detection has occured. The risk level in this case is very high as compared to the tampering attack where just a handful of end nodes are compromised. Not only can all the data be sniffed, but the network could be controlled if it is infrastructure based. Autonomic methods may include the use of distributed architecture and use of authentication [p35];P15;SPTK30 SPTK31 DTK4 DTK11 DTK7 DTK8 DTK12 (Others counteme asures p34, p35)
RSC DVC TAG SSR ATT ODRSC;NLTT3;Sybil Attack;In a Sybil attack, a single node creates its own multiple identities and presents it to other nodes in the network using them to gain a disproportionately large influence. This will result in removal of all original neighbors from the table of active sensor nodes in the routing table. System's vulnerability to a Sybil attack depends on how easily identities can be generated. It also depends on the degree of reputation to which the system accepts inputs from entities that do not have a chain of trust linking them to a trusted entity. The local Sybil resistance scheme (LSR) attempts to detect Sybil attacks particularly in the use case of vehicular networks [p36]. Vehicular networks seem to be the hot topic as a use-case for research in Sybil attacks. [p36] also discussed the availability of a road side unit (RSU) to help counter and detect the attack. Work by [p37] also focuses on vehicular networks and aims to detect the Sybil attack through a distributed, work load and passive overhearing. They attempt to preserve privacy while doing the same, and claim minimal overhead and network delay. The work by [p39] discusses three requirements for defenses against a Sybil attack in a vehicular network. First, any proposed scheme should protect the infomation about the nodes, and thereby preserve privacy. Second, the response time of the counter measure should be immediate. Finally, a verifier should be employed to prevent the Sybil attack to automatically adapt towards the prevention schemes. Lessons from autonomic computing can contribute highly to the third requirement. They propose Sybil Guard which portrays the use of these requirements and sets a limit to the number of false identities that can be initiated by a malicious user. Sybil Limit is proposed by [p38] from the same research group which improves upon the concepts set by earlier by adopting and including a social based setup. Mobility is considered by [p36] and by [p37] specifically in the case of vehicular networks in the form of moving cars etc. The work by [p40]. however, presents a light weight scheme, residing in the lower layers, with support for mobility and variable transmit powers as well. The detection is based on rules such as the ule for values of RSSI for new nodes that attempt to join. This mechanism, however, might not apply in all cases as the analysis is solely on the first RSSI values, which a knowledgeable, powerful malicious node might easily by pass.;P15;SPTK30 SPTK31 DTK4 DTK11 SPTK23 DTK10 (Others countemme asures P36, p37 p38p 39.p40)
RSC DVC TAG SSR ATT ODRSC;NLTT4;Selective Forwarding/Gray Hole;Certain malicious nodes can refuse to forward some messages and just drop them. This can result in delay and bandwidth degradation in the whole network. Thus, confidentiality and availability are compromised. Probing and redundancy checks can be the possible solution. Many soutions have been proposed which range from providing detection to a complete recovery. Others focus on lessening the damage caused. A scheme which detects and recovers the network has been proposed by [p41]. With a claimed accuracy of over 95%, the scheme employs a messaging based watemark technique to keep track of the forwarded path. This scheme however, claims to result in network delay due to the cost of processing. The work by [p42] focuses on the Ad Hoc On-Demand Distance Vector (AODV) and similar routing protocols before proposing a scheme that consists of two phases of detection and localization. They use packet counters to keep track of a series of control messages which are passed through the wvireless nodes. Another method temed CADE, also makes use of acknowledgement based detection but eliminates time synchronization requirements [p43].| CADE makes use of cumulative techniques and claims to reduce overhead. Another technique by [p44] breaks the information packets into a multitude of smaller pieces, propagated along specific paths and then the decision of malicious node presence is made. A complete survey on the proposed solution for this attack has been conducted by [p45]. The common mitigation measures which can benefit from autonomic practices incude probing, redundancy, and message based detection [p46].;P15;SPTK30 SPTK31 DTK4 DTK11 DTK12 DTK13 DTK14 DTK15 (Others counteme asures P41.p42.p 43.p44.p4 5.p46)
RSC DVC TAG SSR ATT ODRSC;NLTT5;Eavesdropping and Traffic Analysis;The eavesdropping attack and traftic analysis act as a pre -requisite to many other attacks, and usually the transmitter and the receiver are unaware of the presence of this attack. Eavesdropping and traftic analysis are classitied as either passive or active. In passive eavesdropping. the attacker detects communication traftīc by listening to the transmission medium, and processes it to extract vital infomation. On the other hand, in active eavesdropping. the attacker sends control data as queies to initiate specitic processes and replies from the destination device. The reply is further used in the analysis to pave the way for other attacks. It is hard to decide on whether eavesdropping should be grouped under M2M, Network or Cloud attack since data can be eavesdropped at levels of communication. Eavesdropping on data in the M2M layer is easy, but not as beneficial as the adversary can only eavesdrop on selected portions of the system, and the raw data may not be particularly useful. Wireless IoT devices are heavily prone to eavesdropping. On the other hand, eavesdropping on data in the Cloud layer is essentially the most profitable, as context infomation is included as well. However, the ease of implementing an eavesdropping attack on the Network layer makes it suitable for this category. Eavesdropping could be active or passive, depending upon whether the sniffed data is just monitored for information, or used for initiating another attack. The MITM attack is an example of an active eavesdropDing attack. Here. the adversary makes independent connections with the source and destination devices, acting as a router, and transfers messages between them. In this process, data is captured, understood and modified. Eaves dropping on a new device that is attempting to join a network may allow the attacker to observe control data. This can further allow the attacker to generate messages impersonating other devices, and to manipulate and understand how the network topology is built.;P15,P16;SPTK3 SPTK4 SPTK5 SPTK32 SPTK33 SPTK34 SPTK35 SPTK36 SPTK30 SPTK31 DTK4 DTK11 (Others counterme asures P47.p48)
TAG;NLTT6;RFID Spoofing;An attacker spoofs an RFID signals to read and record a data transmission from an RFID tag. Then the attacker can send his own data containing the original tag ID, making it appear to be valid, hence the attacker gains full access to the system pretending to be the riginal source.;P60;SPTK33 SPTK34 SPTK35 SPTK36 SPTK30 SPTK31 DTK4 DTK11 (Others countemme asures p60)
TAG;NLTT7;RFID Cloning;An attacker clones an RFID tag by copying data from the victims RFID tag, onto another RFID tag. Although the two RFID tags have identical data, this method does not replicate the original ID of the RFID, making it possible to distinguish between the original and the compromised, unlike the event in the RFID spoofing attack.;P60;SPTK30 SPTK31 DTK4 DTK11 (Others counteme asures p60)
TAG;NLTT8;RFID Unauthorized Access;Because of the lack of proper authentication mechanisms in the majority of RFID systems, tags can be accessed by anyone. This automatically means that the attacker can read, modify or even delete data on the RFID nodes.;P60;SPTK33 SPTK34 SPTK35 SPTK36 SPTK30 SPTK31 DTK4 DTK11 (Others counteme asures p60)
RSC DVC TAG SSR ATT ODRSC;NLTT9;Man in The Middle Attack;The attacker over the netwok manages to intertere between two sensor nodes, accessing restricted data, violating the privacy of the two nodes by monitoring. eavesdropping and controlling the communication between the two sensor nodes. Unlike the Malicious Node Injection from the Physical Attacks category, the attacker does not necessarily need to be physically there for this kind of attack to be successful, but relies solely on the network communication protocols of an IoT system.;P60;SPTK32 SPTK30 SPTK31 DTK4 DTK11 SPTK22 (Other counteme asures p60)
RSC DVC TAG SSR ATT ODRSC;NLTT10;DoS/DDoS in Network Layer;A Denial of Service (DoS) attack is an attack with the purpose of preventing legitimate users from usinga specitied network resource such as a website, web service, computer system or an IoT Service. A Distributed Denial of Service DDoS) attack is a coordinated attack on the availability of services of a given target system or network that is launched indirectly through many compromised computing systems p17). A typical Distributed Denial of Service (DDoS) attack uses a large number of compromised hosts to perfom this attack by sending packets that have no purpose, besides generating attack traffic, to disrupt the service [p18];P60,P6,P17,P18;SHTK6 SPTK2 SPTK32 SPTK33 SPTK34 SPTK35 SPTK36 SPTK30 SPTK31 DTK4 DTK11 (Others counterme asures p60, p3 p4, p6 p7,p9, p10)
RSC DVC TAG SSR ATT ODRSC;NLTT11;Routing Information Attacks;These are direct attacks that the adversary by spooting, altening or replaying routing intomation can complicate the network and create routing loops, allowing or dropping traftic, sending false error messages, shortening or extending source routes or even partitioning the network, e.g. Hello Attack and Black hole Attack.;P60; SPTK30 SPTK31 DTK4 DTK11 (Others counteme asures p60)
RSC DVC TAG SSR ATT ODRSC;NLTT12;Network Errors;Network erors are environmental erors caused by the communication channel and basically reter to package losses on the transmission path or comupted incoming packages on the receiving path.;P69;SPTK30 SPTK31 TK4 DTK11
RSC DVC TAG SSR ATT ODRSC;NLTT13;Timing Errors;Timing erors are erors that can occur either at the beginning of the communication as a result of the impossibility to establish a connection, or during the communication flow when for example the response time of the called exceeds the response time expected by the caller.;P69;SPTK30 SPTK31 DTK4 DTK11
RSC DVC TAG SSR ATT ODRSC;NLTT14;Interaction Errors;Interaction erors are caused by incompatibilities at the communication protocol stack level, secunty, workflows or timing. These are the most common erors in inter-Clouds and IoT infrastructures because all these conditions appear while unning the applications and the environmental and interaction states cannot be reproduced during the application testing phases. For complex applications it can be observed a high probability of interaction eror occurence. Some of these, as for example the ones due to different security levels, could be isolated and eliminated during the testing phases in a high percentage, as there are a limited number of calls between virtual organizations.;P69;SPTK17 SPTK30 SPTK31 DTK4 DTK11
RSC DVC;NLTT15;Side Channel Attacks;|Using particular techniques Le. Timing. Power, Fault and Electromagnetic Analysis) on the encryption devices of an IoT system, the attacker can retrieve the encryption key being used for encrypting and decrypting data.;P60;SPTK32 SPTK30 SPTK31 DTK4 DTK11
RSC DVC TAG SSR ATT ODRSC;NLTT16;Cryptanalysis Attacks;These attacks assume the possession of cipher text or plaintext and their purpose is to find the encryption key being used by breaking the encryption scheme of the system. Examples of cryptanalysis attacks on ToT systems include Known-plaintext attack, Chosen-plaintext attack, Chosen Cipher text attack,and Cipher text-only attack.;P60;SPTK33 SPTK34 SPTK35 SPTK36 SPTK30 SPTK31 DTK4 DTK11
RSC DVC TAG SSR ATT ODRSC;NLTT17;Man in The Middle;When two users of an IoT system A and B, exchange keys during a challenge-response scenario, so as to establish a secure communication channel, an adversary positions himself between them on the communication line. The adversary then intercepts the signals that A and B send to each other and attempt to interfere by perfoming a key exchange with A and B separately. The adversary will then be able to decrypt/encrypt any data coming from A and B with the keys that he shares with both of them. Both A and B will think that they are talking with each other.;P60;SPTK30 SPTK31 DTK4 DTK11
RSC DVC TAG SSR ATT ODRSC;NLTT18;ACK Attack;An ACK attack is a TCP based attack. TCP (Iransmission Control Protocol) is a highly reliable host-to-host protocol. TCP uses sequence numbers and acknowledgements of packets, which allows for retransmission upon loss of packets. When two processes want to communicate, a so called three-way handshake initializes the connection between them. A SYN packet is sent first, which is answered by a SYN-ACK. The SYN-ACK packet is an acknowledgement of the SYN packet. The SYN-ACK gets answered by an ACK, which concludes the initialization. For an ACK attack, a TCP connection needs to be established between the attacker and the target device. The attacker sends packets with the ACK-bit enabled and a forged source address. This forged source address is also called a spoofed IP address. The target device will then drop these packets, as the device does not have established connections with the host of the spoofed IP address. The drop of these packets causes resource exhaustion as each packets has to be processed, resulting in a denial of service. [p18];P18;SPTK32 SPTK30 SPTK31 DTK4 DTK11
RSC DVC TAG SSR ATT ODRSC;NLTT19;CHARGE N Attack;The Character Generator Protocol (CharGen) was created as an useful debugging and measurem ent tool. It is either used as a TCP based or an UDP based character generator service. UDP based CharGen attacks are used more than TCP based CharGen attacks, as TCP needs to have a connection established while UDP does not. The attacker sends a packet from a spoofed IP address to a device that has CharGen enabled, and the response will be sent to the target device. This response can have a maximum size of 512 bytes according to the specifications. The standard port CharGen uses is port 19 [p18];P18;SPTK32 SPTK30 SPTK31 DTK4 DTK11
RSC DVC TAG SSR ATT ODRSC;NLTT20;DNS Attack;The Domain Name System (DNS) is used to provide a mechanism where resources are named in such a way that names can be used instead of having to remember IP addresses. DNS makes use of DNS resolvers to retrieve the infomation associated with a domain name. The standard port DNS uses is port 53. In a DNS amplification attack, attackers use open DNS resolvers. They send DNS lookup requests with a spoofed source address to these resolvers. The DNS resolver responds to these packets by sendng a DNSrecord response, which is sent to the target device instead of the device of the attacker. Such a response is generally much larger than the query, which contains only the domain. A response can include many different records of infomation for a domain. [p18];P18;SPTK32 SPTK30 SPTK31 DTK4 DTK11
RSC DVC TAG SSR ATT ODRSC;NLTT21;ICMP Attack;The Intemet Control Message Protocol (ICMP) is a protocol used for sending eror messages, for example when a gateway does not have the buffering capacity to forward a packet or when a packet cannot reach its destination. A function that usually is implemented in ICMP is the ping function. Ping is used to detemine if a path exists between two hosts. This is mostly used to check if another host is up. ICMP allows for ECHO request and ECHO reply messages to be sent. When pinging an other host, an ECHO request is sent, which is answered with an ECHO reply by the other host. If an ECHO reply is not received, the other host is probably down or does not support the ping functionality. An ICMP flood overwhelms the target device with ICMP Echo Request packets which are sent very fast without waiting for a reply from the target device. The target device often tries to answer these packets with ICMP Echo Reply packets, resulting in a consumption of both outgoing and incoming bandwidth [p18];P18;SPTK32 SPTK30 SPTK31 DTK4 DTK11
RSC DVC TAG SSR ATT ODRSC;NLTT22;NTP Attack;The Network' lime Protocol (NTP) is used to synchronize clockS on the Intemet. NIP uses mechanisms to combine the statistics of multiple NTP servers to detemine the time in UTC. These statistics are requested by sending queries. The standard port NTP uses is port 123. In older versions of NTP, one of these queries is "monlist". This request retums a list of the last 600 hosts that have made a connection to the server. The attacker requests this query with a spoofed source address, resulting in a considerably larger response with the list being sent to the target device. [P18];P18;SPTK32 SPTK30 SPTK31 DTK4 DTK11
